Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
arta-dress,Arta Dress,<p></p>,Homeboy Threads,,Dresses,"private, designer-donated",TRUE,Color,Navy,Size,2,,,1310189NVY002,453,shopify,1,deny,manual,111.20,278.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0717/4320/9787/files/27DEE7C8-64BC-41D2-8838-2BD343A33EBE.png?v=1762978113,1,Arta Dress,FALSE,Arta Dress | Homeboy Threads Resale | Homeboy Threads,,,g,,,active
arta-dress,,,,,,,,Color,Seychelle,Size,0,,,1310189SEC000,453,shopify,1,deny,manual,111.20,278.00,TRUE,TRUE,,,,,,,,https://cdn.shopify.com/s/files/1/0717/4320/9787/files/27DEE7C8-64BC-41D2-8838-2BD343A33EBE.png?v=1762978113,g,,,
arta-dress,,,,,,,,Color,Seychelle,Size,2,,,1310189SEC002,453,shopify,1,deny,manual,111.20,278.00,TRUE,TRUE,,,,,,,,https://cdn.shopify.com/s/files/1/0717/4320/9787/files/27DEE7C8-64BC-41D2-8838-2BD343A33EBE.png?v=1762978113,g,,,
arta-dress,,,,,,,,Color,Seychelle,Size,4,,,1310189SEC004,453,shopify,1,deny,manual,111.20,278.00,TRUE,TRUE,,,,,,,,https://cdn.shopify.com/s/files/1/0717/4320/9787/files/27DEE7C8-64BC-41D2-8838-2BD343A33EBE.png?v=1762978113,g,,,
arta-dress,,,,,,,,Color,Seychelle,Size,6,,,1310189SEC006,453,shopify,1,deny,manual,111.20,278.00,TRUE,TRUE,,,,,,,,https://cdn.shopify.com/s/files/1/0717/4320/9787/files/27DEE7C8-64BC-41D2-8838-2BD343A33EBE.png?v=1762978113,g,,,
arta-dress,,,,,,,,Color,Seychelle,Size,8,,,1310189SEC008,453,shopify,1,deny,manual,111.20,278.00,TRUE,TRUE,,,,,,,,https://cdn.shopify.com/s/files/1/0717/4320/9787/files/27DEE7C8-64BC-41D2-8838-2BD343A33EBE.png?v=1762978113,g,,,
arta-dress,,,,,,,,Color,Seychelle,Size,10,,,1310189SEC010,453,shopify,1,deny,manual,111.20,278.00,TRUE,TRUE,,,,,,,,https://cdn.shopify.com/s/files/1/0717/4320/9787/files/27DEE7C8-64BC-41D2-8838-2BD343A33EBE.png?v=1762978113,g,,,
arta-dress,,,,,,,,Color,Seychelle,Size,12,,,1310189SEC012,453,shopify,1,deny,manual,111.20,278.00,TRUE,TRUE,,,,,,,,https://cdn.shopify.com/s/files/1/0717/4320/9787/files/27DEE7C8-64BC-41D2-8838-2BD343A33EBE.png?v=1762978113,g,,,
anaiis-silk-dress,Anaiis Silk Dress,<p></p>,Homeboy Threads,,Dresses,"private, designer-donated",TRUE,Color,Forest,Size,2,,,1314547FOE002,453,shopify,1,deny,manual,159.20,398.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0717/4320/9787/files/C80B189D-0CD9-4C9E-B2DA-440C1DF0CC5F.jpg?v=1762977846,1,Anaiis Silk Dress,FALSE,Anaiis Silk Dress | Homeboy Threads Resale | Homeboy Threads,,,g,,,active
anaiis-silk-dress,,,,,,,,Color,Forest,Size,4,,,1314547FOE004,453,shopify,1,deny,manual,159.20,398.00,TRUE,TRUE,,,,,,,,,g,,,
